id_subsistema;nom_subsistema;ena_data;ena_bruta_regiao_mwmed;ena_bruta_regiao_percentualmlt;ena_armazenavel_regiao_mwmed;ena_armazenavel_regiao_percentualmlt
S;SUL;2026-02-06;3297.537;39.9738;3144.922;38.1238
SE;SUDESTE;2026-02-06;64064.008;90.4284;60774.225;85.7847
N;NORTE;2026-02-07;12235.319;53.7982;12109.759;53.2462
NE;NORDESTE;2026-02-07;10326.174;72.7906;10317.594;72.7302
S;SUL;2026-02-07;3123.428;37.8632;2915.757;35.3457
SE;SUDESTE;2026-02-07;64807.961;91.4785;61197.734;86.3825
N;NORTE;2026-02-08;12507.326;54.9942;12361.731;54.3541
NE;NORDESTE;2026-02-08;11079.554;78.1013;11058.104;77.9501
S;SUL;2026-02-08;3200.695;38.7998;3017.153;36.5749
SE;SUDESTE;2026-02-08;65704.593;92.7441;61685.578;87.0711
N;NORTE;2026-02-09;12699.033;55.8372;12517.028;55.0369
NE;NORDESTE;2026-02-09;11797.523;83.1624;11775.358;83.0061
S;SUL;2026-02-09;3303.289;40.0435;3137.824;38.0377
SE;SUDESTE;2026-02-09;67408.946;95.1498;64046.399;90.4035
