nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt;ena_queda_bruta;mlt_ena
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;41.839;46.5401;35.939;39.9771;40.752;89.8989
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;53.913;44.4135;49.244;40.5672;53.761;121.3888
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;BELO MONTE;N;NORTE;2026-01-01;25.146;99.1839;25.146;99.1839;21.771;25.3529
D. FRANCISCA;114;Fio dagua;JACUI;SUL;S;SUL;2026-01-01;298.919;420.1416;67.691;95.1422;302.989;71.1472
DARDANELOS;310;Fio dagua;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-01;365.894;86.291;163.44;38.5451;351.876;424.0232
E. DA CUNHA;15;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-01;72.642;62.8767;72.642;62.8767;72.707;115.5308
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;200.936;20.1498;200.936;20.1498;188.625;997.2102
ESPORA;290;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;22.739;70.6883;21.13;65.6864;20.989;32.168
ESTREITO;267;Fio dagua;TOCANTINS;NORTE;N;NORTE;2026-01-01;516.758;36.6905;512.538;36.3909;468.053;1408.425
FERREIRA GOMES;284;Fio dagua;ARAGUARI;MANAUS-AMAPA;N;NORTE;2026-01-01;62.579;73.8888;62.579;73.8888;67.94;84.6935
FONTES;132;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-01;21.071;17.3334;21.071;17.3334;21.031;121.563
FOZ CHAPECO;103;Fio dagua;URUGUAI;SUL;S;SUL;2026-01-01;1566.214;405.1097;603.732;156.1585;1508.854;386.6148
FOZ DO RIO CLARO;315;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;29.106;39.2026;29.106;39.2026;29.154;74.245
FUNDÃO;72;Fio dagua;IGUACU;IGUACU;S;SUL;2026-01-01;61.721;75.0505;60.89;74.04;62.57;82.2393
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-01;60.204;28.8741;60.204;28.8741;53.426;208.505
FUNIL-MG;4;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-01;73.993;36.5771;73.993;36.5771;76.417;202.293
FURNAS;6;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-01;431.069;30.9889;431.069;30.9889;416.17;1391.043
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;IGUACU;S;SUL;2026-01-01;410.755;60.6672;410.755;60.6672;409.36;677.0622
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;SUL;S;SUL;2026-01-01;123.526;77.7602;123.526;77.7602;123.407;158.855
GARIBALDI;89;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-01;191.655;234.9545;175.046;214.5932;201.378;81.5711
GOV JAYME CANET JR;57;Reservatório com Usina;PARANAPANEMA;IGUACU;S;SUL;2026-01-01;158.187;49.4231;130.902;40.8983;159.581;320.067
GUAPORE;196;Fio dagua;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-01;60.34;108.4721;60.34;108.4721;60.253;55.6272
GUILM. AMORIM;192;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-01;24.722;16.5945;24.722;16.5945;24.693;148.9768
HENRY BORDEN;119;Fio dagua;TIETE;SUDESTE;SE;SUDESTE;2026-01-01;234.163;61.5225;234.163;61.5225;234.131;380.6136
I. SOLTEIRA;34;Reservatório com Usina;PARANA;PARANA;SE;SUDESTE;2026-01-01;1039.991;31.0143;1039.991;31.0143;1061.654;3353.2623
IBITINGA;39;Fio dagua;TIETE;PARANA;SE;SUDESTE;2026-01-01;109.518;69.4384;47.507;30.1212;109.968;157.7196
IGARAPAVA;10;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-01;86.089;28.0248;86.089;28.0248;89.396;307.1891
ILHA POMBOS;130;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-01;54.362;23.3401;54.362;23.3401;55.389;232.9124
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;SUDESTE;SE;SUDESTE;2026-01-01;71.183;14.8425;71.183;14.8425;70.422;479.589
ITÁ;92;Fio dagua;URUGUAI;SUL;S;SUL;2026-01-01;3298.809;512.9081;2352.721;365.8077;3232.837;643.1579
ITAIPU;66;Fio dagua;PARANA;ITAIPU;SE;SUDESTE;2026-01-01;9522.73;63.3323;9522.73;63.3323;9861.598;15036.1432
ITAPEBI;154;Fio dagua;JEQUITINHONHA;NORDESTE;NE;NORDESTE;2026-01-01;42.793;7.7326;15.623;2.823;43.41;553.41
ITAUBA;113;Fio dagua;JACUI;SUL;S;SUL;2026-01-01;568.318;432.3796;215.546;163.9886;536.799;131.4396
ITIQUIRA I;304;Fio dagua;PARAGUAI;SUDESTE;SE;SUDESTE;2026-01-01;38.54;50.6562;36.235;47.6266;38.567;76.0815
ITIQUIRA II;305;Fio dagua;PARAGUAI;SUDESTE;SE;SUDESTE;2026-01-01;61.379;50.6569;61.379;50.6569;61.534;121.1661
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;544.74;29.6447;544.74;29.6447;488.117;1837.5605
ITUTINGA;2;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-01;15.492;26.2686;15.492;26.2686;15.928;58.9754
JACUI;112;Fio dagua;JACUI;SUL;S;SUL;2026-01-01;452.794;403.8869;0.0;0.0;473.695;112.1091
JAGUARA;9;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-01;219.03;28.2333;219.03;28.2333;222.574;775.7848
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-01;6.005;26.4337;5.488;24.1579;5.57;22.7172
JAURU;195;Fio dagua;PARAGUAI;SUDESTE;SE;SUDESTE;2026-01-01;71.968;80.6353;71.968;80.6353;71.996;89.2512
JIRAU;285;Fio dagua;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-01;4008.469;109.9863;2254.644;61.864;3673.53;3644.515
JUPIA;45;Fio dagua;PARANA;PARANA;SE;SUDESTE;2026-01-01;631.674;34.0147;631.674;34.0147;646.136;1857.06
JURUENA;309;Fio dagua;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-01;41.949;88.3062;24.135;50.8062;43.531;47.504
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-01;29.236;31.0404;29.236;31.0404;29.115;94.1868
L. C. BARRETO;8;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-01;300.981;28.3741;300.981;28.3741;303.301;1060.7587
LAJEADO;261;Fio dagua;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-01;357.49;24.9572;356.495;24.8878;349.102;1432.4115
LIMOEIRO;16;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-01;20.866;60.165;16.006;46.1517;21.078;34.6813
LUIZ GONZAGA;172;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-01;976.266;49.2027;976.266;49.2027;943.584;1984.17
M. MORAES;7;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-01;189.11;28.54;189.11;28.54;200.974;662.6139
MACHADINHO;91;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-01;1352.87;295.7831;1352.87;295.7831;1375.182;457.3859
MANSO;278;Reservatório com Usina;PARAGUAI;SUDESTE;SE;SUDESTE;2026-01-01;66.512;44.2328;66.512;44.2328;65.979;150.368
MARIMBONDO;17;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-01;472.969;28.4724;472.969;28.4724;431.135;1661.1515
MASCARENHAS;144;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-01;56.585;15.9289;56.585;15.9289;57.716;355.2354
MIRANDA;26;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;111.225;30.9552;111.225;30.9552;111.198;359.31
MONJOLINHO;94;Fio dagua;URUGUAI;SUL;S;SUL;2026-01-01;133.045;397.3865;96.325;287.7091;133.46;33.48
MONTE CLARO;98;Fio dagua;JACUI;SUL;S;SUL;2026-01-01;157.058;273.791;60.742;105.8883;157.71;57.3642
N. AVANHANDAVA;42;Fio dagua;TIETE;PARANA;SE;SUDESTE;2026-01-01;183.109;55.9761;183.109;55.9761;182.349;327.12
NILO PEÇANHA;131;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-01;242.242;63.0419;242.242;63.0419;242.426;384.2553
NOVA PONTE;25;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;161.366;32.8524;161.366;32.8524;142.222;491.1852
OURINHOS;249;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-01;14.386;29.3797;14.386;29.3797;15.938;48.9658
P. AFONSO 1,2,3;174;Fio dagua;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-01;838.375;49.2247;838.375;49.2247;149.211;1703.16
P. AFONSO 4;175;Fio dagua;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-01;1199.979;49.2247;1199.979;49.2247;2071.178;2437.7598
P. COLOMBIA;12;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-01;138.259;28.6202;138.259;28.6202;143.117;483.0812
PARAIBUNA;121;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-01;28.666;38.9624;28.666;38.9624;26.892;73.5735
PARANAPANEMA;53;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-01;12.793;30.3134;12.793;30.3134;13.342;42.2025
PASSO FUNDO;93;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-01;328.551;421.8574;328.551;421.8574;330.774;77.882
PASSO REAL;111;Reservatório com Usina;JACUI;SUL;S;SUL;2026-01-01;202.363;392.572;0.0;0.0;210.299;51.548
PASSO SAO JOAO;102;Fio dagua;URUGUAI;SUL;S;SUL;2026-01-01;229.467;515.222;42.155;94.6506;217.436;44.5375
PEDRA DO CAVALO;189;Reservatório com Usina;PARAGUACU;NORDESTE;NE;NORDESTE;2026-01-01;1.849;1.2744;1.849;1.2744;1.874;145.0899
PEIXE ANGICAL;257;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-01;173.92;23.9159;173.92;23.9159;169.648;727.216
PEREIRA PASSOS;133;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-01;31.667;52.1007;31.667;52.1007;32.093;60.7804
PICADA;126;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-01;26.267;36.6933;26.267;36.6933;26.206;71.5852
PIMENTAL;314;Fio dagua;AMAZONAS;BELO MONTE;N;NORTE;2026-01-01;112.729;80.3291;112.729;80.3291;107.425;140.334
PIRAJU;48;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-01;23.138;30.3137;23.138;30.3137;23.904;76.3286
PONTE DE PEDRA;281;Fio dagua;PARAGUAI;SUDESTE;SE;SUDESTE;2026-01-01;152.487;80.2092;121.539;63.9303;153.283;190.1116
PORTO ESTRELA;135;Reservatório com Usina;DOCE;SUDESTE;SE;SUDESTE;2026-01-01;22.363;16.2841;22.363;16.2841;21.203;137.3307
PORTO PRIMAVERA;46;Fio dagua;PARANA;PARANA;SE;SUDESTE;2026-01-01;754.787;38.4217;754.787;38.4217;778.374;1964.48
PROMISSÃO;40;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;2026-01-01;139.602;59.9094;105.522;45.2841;142.197;233.022
QUEBRA QUEIXO;95;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-01;53.685;89.4303;53.685;89.4303;53.256;60.03
QUEIMADO;162;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;2026-01-01;40.255;31.8698;40.255;31.8698;38.881;126.3108
RETIRO BAIXO;155;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;2026-01-01;21.866;20.615;21.866;20.615;21.776;106.0682
RONDON II;276;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-01;86.453;140.9067;86.453;140.9067;83.777;61.3548
ROSAL;217;Fio dagua;ITABAPOANA;SUDESTE;SE;SUDESTE;2026-01-01;26.031;25.2463;26.031;25.2463;26.031;103.1083
ROSANA;63;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-01;180.574;56.3705;180.574;56.3705;183.712;320.334
S.DO FACÃO;21;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;41.387;20.9116;41.387;20.9116;39.102;197.9145
S.R.VERDINHO;241;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;42.722;44.4237;42.722;44.4237;43.296;96.1694
SA CARVALHO;193;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-01;22.033;14.6146;21.097;13.9937;22.061;150.7604
SALTO;262;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;50.238;47.2841;50.238;47.2841;50.551;106.2472
SALTO CAXIAS;82;Fio dagua;IGUACU;IGUACU;S;SUL;2026-01-01;398.06;59.8259;398.06;59.8259;395.861;665.3644
SALTO GRANDE CM;134;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-01;39.458;17.1427;38.656;16.7943;39.327;230.174
SALTO GRANDE CS;50;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-01;36.388;37.5754;32.236;33.2879;37.857;96.8399
SALTO OSORIO;78;Fio dagua;IGUACU;IGUACU;S;SUL;2026-01-01;325.257;59.0156;325.257;59.0156;328.921;551.1373
SALTO PILAO;215;Fio dagua;ITAJAI;SUL;S;SUL;2026-01-01;224.552;110.6868;0.0;0.0;223.942;202.8715
SALTO SANTIAGO;77;Reservatório com Usina;IGUACU;IGUACU;S;SUL;2026-01-01;517.98;62.9751;517.98;62.9751;538.744;822.5162
SAMUEL;279;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-01;143.177;106.2257;143.177;106.2257;130.061;134.7856
SANTA BRANCA;122;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-01;16.923;38.3324;16.923;38.3324;14.5;44.148
SANTA CLARA-PR;71;Reservatório com Usina;IGUACU;IGUACU;S;SUL;2026-01-01;56.76;74.3084;56.76;74.3084;57.407;76.3844
SANTO ANTONIO;287;Fio dagua;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-01;3934.569;103.7035;2110.079;55.6154;3517.938;3794.0553
SAO DOMINGOS;153;Fio dagua;PARANA;PARANA;SE;SUDESTE;2026-01-01;23.008;50.282;14.102;30.8187;23.152;45.7579
SAO JOSE;101;Fio dagua;URUGUAI;SUL;S;SUL;2026-01-01;163.166;514.0997;23.443;73.8637;155.505;31.7382
SAO MANOEL;230;Fio dagua;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-01;715.427;86.4848;517.971;62.6152;660.318;827.2283
SAO ROQUE;88;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-01;232.144;289.4654;232.144;289.4654;233.434;80.1975
SAO SALVADOR;253;Fio dagua;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-01;86.931;23.9077;86.931;23.9077;89.763;363.6108
SÃO SIMÃO;33;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-01;710.781;28.3441;710.781;28.3441;682.327;2507.683
SEGREDO;76;Reservatório com Usina;IGUACU;IGUACU;S;SUL;2026-01-01;487.175;66.8623;487.175;66.8623;484.145;728.624
SERRA DA MESA;251;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-01;324.813;22.7055;324.813;22.7055;318.688;1430.55
SIMPLICIO;129;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-01;71.604;22.6213;71.604;22.6213;72.672;316.53285
SINOP;227;Reservatório com Usina;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-01;191.03;55.9693;183.981;53.904;148.358;341.3124
SOBRADINHO;169;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-01;576.48;52.957;576.48;52.957;529.114;1088.5805
SOBRAGI;127;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-01;33.076;36.9358;22.33;24.9358;33.189;89.55
STA.CLARA-MG;283;Fio dagua;MUCURI;SUDESTE;SE;SUDESTE;2026-01-01;10.815;14.5819;10.815;14.5819;10.709;74.1675
STO ANTONIO DO JARI;286;Fio dagua;AMAZONAS;MANAUS-AMAPA;N;NORTE;2026-01-01;87.579;54.9073;87.579;54.9073;89.245;159.5035
SUIÇA;145;Fio dagua;SANTA MARIA VIT;SUDESTE;SE;SUDESTE;2026-01-01;4.248;10.0511;4.248;10.0511;4.212;42.264
TAQUARUÇU;62;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-01;193.311;55.2621;193.311;55.2621;191.415;349.8075
TELES PIRES;229;Fio dagua;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-01;1592.035;87.0901;1221.072;66.7971;1615.999;1828.0318
TRÊS IRMÃOS;43;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;2026-01-01;222.752;45.0302;222.752;45.0302;225.098;494.6725
TRÊS MARIAS;156;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;2026-01-01;155.02;24.9509;155.02;24.9509;150.255;621.3
TUCURUI;275;Reservatório com Usina;TOCANTINS;NORTE;N;NORTE;2026-01-01;4019.368;49.5882;4019.368;49.5882;3648.173;8105.5008
VOLTA GRANDE;11;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-01;148.597;28.1343;148.597;28.1343;146.604;528.1696
XINGO;178;Fio dagua;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-01;2249.563;46.6279;2249.563;46.6279;2293.334;4824.4975
14 DE JULHO;99;Fio dagua;JACUI;SUL;S;SUL;2026-01-02;125.496;247.679;101.669;200.6541;119.125;50.6688
A. VERMELHA;18;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-02;487.836;29.4796;487.836;29.4796;451.459;1654.825
AIMORES;143;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-02;62.213;15.8753;62.213;15.8753;64.41;391.8856
APOLONIO SALES;173;Fio dagua;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-02;224.499;51.4261;224.499;51.4261;33.057;436.5468
B. BONITA;37;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;2026-01-02;63.377;52.5556;51.833;42.9827;63.442;120.5904
B.COQUEIROS;312;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-02;37.993;40.9034;37.993;40.9034;39.234;92.8846
BAGUARI;141;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-02;38.935;22.5911;38.935;22.5911;40.0;172.347
BAIXO IGUACU;83;Fio dagua;IGUACU;IGUACU;S;SUL;2026-01-02;144.125;77.0469;144.125;77.0469;140.416;187.0614
BALBINA;277;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;N;NORTE;2026-01-02;148.497;176.2785;148.497;176.2785;142.23;84.24
BARIRI;38;Fio dagua;TIETE;PARANA;SE;SUDESTE;2026-01-02;86.507;61.5127;73.94;52.5766;84.061;140.6328
BARRA BRAUNA;185;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-02;14.742;32.4429;14.742;32.4429;14.598;45.4398
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-02;568.724;212.6137;558.817;208.91;579.294;267.4917
BATALHA;20;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-02;14.183;21.707;14.183;21.707;12.757;65.3384
BELO MONTE;288;Fio dagua;AMAZONAS;BELO MONTE;N;NORTE;2026-01-02;3318.518;59.2747;3318.518;59.2747;3300.119;5598.54
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;2026-01-02;157.57;65.4735;157.57;65.4735;151.057;240.6624
C. DOURADA;32;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-02;221.394;29.9368;220.853;29.8637;228.583;739.5374
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-02;89.705;29.7306;64.135;21.256;88.578;301.726
C.BRANCO-2;28;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-02;75.584;29.6727;75.584;29.6727;75.272;254.7259
CACHOEIRA CALDEIRAO;204;Fio dagua;ARAGUARI;MANAUS-AMAPA;N;NORTE;2026-01-02;61.798;78.628;58.845;74.8708;62.917;78.5954
CACONDE;14;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-02;69.326;88.3578;69.326;88.3578;65.392;78.4605
CACU;311;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-02;27.828;41.1937;27.828;41.1937;28.415;67.554
CAMARGOS;1;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-02;15.501;30.8544;15.501;30.8544;14.238;50.2392
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-02;1025.125;265.9126;1025.125;265.9126;1035.171;385.512
CANA BRAVA;252;Fio dagua;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-02;137.326;23.114;137.326;23.114;136.483;594.1248
CANASTRA;87;Fio dagua;JACUI;SUL;S;SUL;2026-01-02;;;;;;
CANDONGA;139;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-02;45.48;37.9697;45.48;37.9697;44.229;119.7798
