carga,instante
14540.585,2026-02-10T02:20:00-03:00
14540.2451,2026-02-10T02:21:00-03:00
14478.2676,2026-02-10T02:22:00-03:00
14453.49,2026-02-10T02:23:00-03:00
14449.2119,2026-02-10T02:24:00-03:00
14440.0664,2026-02-10T02:25:00-03:00
14435.7666,2026-02-10T02:26:00-03:00
14414.6,2026-02-10T02:27:00-03:00
14407.0791,2026-02-10T02:28:00-03:00
14391.874,2026-02-10T02:29:00-03:00
14378.4258,2026-02-10T02:30:00-03:00
14378.2939,2026-02-10T02:31:00-03:00
14340.6445,2026-02-10T02:32:00-03:00
14361.7861,2026-02-10T02:33:00-03:00
14345.7285,2026-02-10T02:34:00-03:00
14335.67,2026-02-10T02:35:00-03:00
14322.1846,2026-02-10T02:36:00-03:00
14289.9023,2026-02-10T02:37:00-03:00
14276.1357,2026-02-10T02:38:00-03:00
14266.0762,2026-02-10T02:39:00-03:00
14258.1123,2026-02-10T02:40:00-03:00
14251.0156,2026-02-10T02:41:00-03:00
14231.6182,2026-02-10T02:42:00-03:00
14225.2451,2026-02-10T02:43:00-03:00
14236.7266,2026-02-10T02:44:00-03:00
14230.5049,2026-02-10T02:45:00-03:00
14216.0078,2026-02-10T02:46:00-03:00
14205.1211,2026-02-10T02:47:00-03:00
14191.9727,2026-02-10T02:48:00-03:00
14191.9854,2026-02-10T02:49:00-03:00
14191.584,2026-02-10T02:50:00-03:00
14205.7139,2026-02-10T02:51:00-03:00
14245.998,2026-02-10T02:52:00-03:00
14248.6982,2026-02-10T02:53:00-03:00
14231.6045,2026-02-10T02:54:00-03:00
14232.1641,2026-02-10T02:55:00-03:00
14223.7949,2026-02-10T02:56:00-03:00
14226.3916,2026-02-10T02:57:00-03:00
14227.6914,2026-02-10T02:58:00-03:00
14223.7256,2026-02-10T02:59:00-03:00
14211.0557,2026-02-10T03:00:00-03:00
14200.6348,2026-02-10T03:01:00-03:00
14185.5117,2026-02-10T03:02:00-03:00
14153.3867,2026-02-10T03:03:00-03:00
14160.47,2026-02-10T03:04:00-03:00
14134.4736,2026-02-10T03:05:00-03:00
14099.7441,2026-02-10T03:06:00-03:00
14102.2881,2026-02-10T03:07:00-03:00
14105.5625,2026-02-10T03:08:00-03:00
14108.6934,2026-02-10T03:09:00-03:00
14112.39,2026-02-10T03:10:00-03:00
14103.6211,2026-02-10T03:11:00-03:00
14113.4795,2026-02-10T03:12:00-03:00
14108.83,2026-02-10T03:13:00-03:00
14092.4189,2026-02-10T03:14:00-03:00
14090.5537,2026-02-10T03:15:00-03:00
14080.8506,2026-02-10T03:16:00-03:00
14072.999,2026-02-10T03:17:00-03:00
14060.1162,2026-02-10T03:18:00-03:00
14067.2129,2026-02-10T03:19:00-03:00
14045.7051,2026-02-10T03:20:00-03:00
14056.0088,2026-02-10T03:21:00-03:00
14083.5635,2026-02-10T03:22:00-03:00
14102.9482,2026-02-10T03:23:00-03:00
14085.8994,2026-02-10T03:24:00-03:00
14044.5313,2026-02-10T03:25:00-03:00
14029.668,2026-02-10T03:26:00-03:00
14012.874,2026-02-10T03:27:00-03:00
13986.5313,2026-02-10T03:28:00-03:00
13980.0273,2026-02-10T03:29:00-03:00
13975.8477,2026-02-10T03:30:00-03:00
13984.4639,2026-02-10T03:31:00-03:00
13989.0889,2026-02-10T03:32:00-03:00
13998.5947,2026-02-10T03:33:00-03:00
13996.3594,2026-02-10T03:34:00-03:00
13998.4688,2026-02-10T03:35:00-03:00
13989.4023,2026-02-10T03:36:00-03:00
13976.915,2026-02-10T03:37:00-03:00
13949.8213,2026-02-10T03:38:00-03:00
13954.7061,2026-02-10T03:39:00-03:00
13950.4248,2026-02-10T03:40:00-03:00
13978.86,2026-02-10T03:41:00-03:00
13973.6,2026-02-10T03:42:00-03:00
13969.16,2026-02-10T03:43:00-03:00
13967.7256,2026-02-10T03:44:00-03:00
13960.0391,2026-02-10T03:45:00-03:00
13956.0391,2026-02-10T03:46:00-03:00
13964.9775,2026-02-10T03:47:00-03:00
13942.377,2026-02-10T03:48:00-03:00
13953.3975,2026-02-10T03:49:00-03:00
13967.8613,2026-02-10T03:50:00-03:00
13949.1836,2026-02-10T03:51:00-03:00
13957.0059,2026-02-10T03:52:00-03:00
13950.7861,2026-02-10T03:53:00-03:00
13948.541,2026-02-10T03:54:00-03:00
13938.7227,2026-02-10T03:55:00-03:00
13938.7969,2026-02-10T03:56:00-03:00
13937.0576,2026-02-10T03:57:00-03:00
13933.625,2026-02-10T03:58:00-03:00
13928.3828,2026-02-10T03:59:00-03:00
13914.0605,2026-02-10T04:00:00-03:00
13880.7793,2026-02-10T04:01:00-03:00
13894.9854,2026-02-10T04:02:00-03:00
13904.6143,2026-02-10T04:03:00-03:00
13890.3447,2026-02-10T04:04:00-03:00
13896.1846,2026-02-10T04:05:00-03:00
13887.0928,2026-02-10T04:06:00-03:00
13892.1846,2026-02-10T04:07:00-03:00
13889.9063,2026-02-10T04:08:00-03:00
13906.2969,2026-02-10T04:09:00-03:00
13926.0322,2026-02-10T04:10:00-03:00
13929.4277,2026-02-10T04:11:00-03:00
13930.9512,2026-02-10T04:12:00-03:00
13926.2363,2026-02-10T04:13:00-03:00
13933.0664,2026-02-10T04:14:00-03:00
13929.793,2026-02-10T04:15:00-03:00
13926.0234,2026-02-10T04:16:00-03:00
13922.5479,2026-02-10T04:17:00-03:00
13916.8105,2026-02-10T04:18:00-03:00
13916.2285,2026-02-10T04:19:00-03:00
13916.2646,2026-02-10T04:20:00-03:00
13919.8584,2026-02-10T04:21:00-03:00
13929.8906,2026-02-10T04:22:00-03:00
13923.62,2026-02-10T04:23:00-03:00
13908.7529,2026-02-10T04:24:00-03:00
13914.874,2026-02-10T04:25:00-03:00
13951.2344,2026-02-10T04:26:00-03:00
13982.6426,2026-02-10T04:27:00-03:00
13976.918,2026-02-10T04:28:00-03:00
13969.7666,2026-02-10T04:29:00-03:00
