geracao,instante
2224.37964,2026-02-10T02:20:00-03:00
2224.37573,2026-02-10T02:21:00-03:00
2232.87451,2026-02-10T02:22:00-03:00
2231.569,2026-02-10T02:23:00-03:00
2229.909,2026-02-10T02:24:00-03:00
2232.15381,2026-02-10T02:25:00-03:00
2233.00732,2026-02-10T02:26:00-03:00
2235.52612,2026-02-10T02:27:00-03:00
2234.77417,2026-02-10T02:28:00-03:00
2232.47559,2026-02-10T02:29:00-03:00
2234.8186,2026-02-10T02:30:00-03:00
2235.687,2026-02-10T02:31:00-03:00
2233.183,2026-02-10T02:32:00-03:00
2236.3064,2026-02-10T02:33:00-03:00
2238.5188,2026-02-10T02:34:00-03:00
2238.862,2026-02-10T02:35:00-03:00
2237.74731,2026-02-10T02:36:00-03:00
2243.95532,2026-02-10T02:37:00-03:00
2251.21558,2026-02-10T02:38:00-03:00
2254.08862,2026-02-10T02:39:00-03:00
2256.21313,2026-02-10T02:40:00-03:00
2256.839,2026-02-10T02:41:00-03:00
2258.25122,2026-02-10T02:42:00-03:00
2257.90161,2026-02-10T02:43:00-03:00
2261.05029,2026-02-10T02:44:00-03:00
2253.63452,2026-02-10T02:45:00-03:00
2251.083,2026-02-10T02:46:00-03:00
2244.7334,2026-02-10T02:47:00-03:00
2244.2124,2026-02-10T02:48:00-03:00
2244.97046,2026-02-10T02:49:00-03:00
2244.45142,2026-02-10T02:50:00-03:00
2248.302,2026-02-10T02:51:00-03:00
2252.20752,2026-02-10T02:52:00-03:00
2250.30054,2026-02-10T02:53:00-03:00
2255.21387,2026-02-10T02:54:00-03:00
2253.2,2026-02-10T02:55:00-03:00
2255.01733,2026-02-10T02:56:00-03:00
2251.01636,2026-02-10T02:57:00-03:00
2248.954,2026-02-10T02:58:00-03:00
2244.98,2026-02-10T02:59:00-03:00
2243.43652,2026-02-10T03:00:00-03:00
2237.12866,2026-02-10T03:01:00-03:00
2226.145,2026-02-10T03:02:00-03:00
2226.29688,2026-02-10T03:03:00-03:00
2211.15283,2026-02-10T03:04:00-03:00
2211.98462,2026-02-10T03:05:00-03:00
2214.3457,2026-02-10T03:06:00-03:00
2214.84521,2026-02-10T03:07:00-03:00
2212.45313,2026-02-10T03:08:00-03:00
2209.82031,2026-02-10T03:09:00-03:00
2211.269,2026-02-10T03:10:00-03:00
2210.71973,2026-02-10T03:11:00-03:00
2203.106,2026-02-10T03:12:00-03:00
2209.377,2026-02-10T03:13:00-03:00
2212.955,2026-02-10T03:14:00-03:00
2210.25684,2026-02-10T03:15:00-03:00
2211.555,2026-02-10T03:16:00-03:00
2211.13721,2026-02-10T03:17:00-03:00
2216.72119,2026-02-10T03:18:00-03:00
2221.124,2026-02-10T03:19:00-03:00
2219.473,2026-02-10T03:20:00-03:00
2218.90039,2026-02-10T03:21:00-03:00
2217.13623,2026-02-10T03:22:00-03:00
2211.69336,2026-02-10T03:23:00-03:00
2206.69678,2026-02-10T03:24:00-03:00
2196.92261,2026-02-10T03:25:00-03:00
2198.50366,2026-02-10T03:26:00-03:00
2202.47852,2026-02-10T03:27:00-03:00
2197.75171,2026-02-10T03:28:00-03:00
2195.38965,2026-02-10T03:29:00-03:00
2195.53687,2026-02-10T03:30:00-03:00
2195.43774,2026-02-10T03:31:00-03:00
2197.99121,2026-02-10T03:32:00-03:00
2199.34253,2026-02-10T03:33:00-03:00
2196.759,2026-02-10T03:34:00-03:00
2195.506,2026-02-10T03:35:00-03:00
2200.49146,2026-02-10T03:36:00-03:00
2202.85864,2026-02-10T03:37:00-03:00
2199.867,2026-02-10T03:38:00-03:00
2193.76514,2026-02-10T03:39:00-03:00
2198.38281,2026-02-10T03:40:00-03:00
2201.52222,2026-02-10T03:41:00-03:00
2197.74854,2026-02-10T03:42:00-03:00
2199.48682,2026-02-10T03:43:00-03:00
2200.70117,2026-02-10T03:44:00-03:00
2198.916,2026-02-10T03:45:00-03:00
2199.44531,2026-02-10T03:46:00-03:00
2204.16479,2026-02-10T03:47:00-03:00
2204.53027,2026-02-10T03:48:00-03:00
2208.797,2026-02-10T03:49:00-03:00
2210.49316,2026-02-10T03:50:00-03:00
2210.66748,2026-02-10T03:51:00-03:00
2210.543,2026-02-10T03:52:00-03:00
2211.19238,2026-02-10T03:53:00-03:00
2212.03418,2026-02-10T03:54:00-03:00
2213.15381,2026-02-10T03:55:00-03:00
2218.771,2026-02-10T03:56:00-03:00
2227.21362,2026-02-10T03:57:00-03:00
2226.80322,2026-02-10T03:58:00-03:00
2229.54443,2026-02-10T03:59:00-03:00
2241.09888,2026-02-10T04:00:00-03:00
2240.7793,2026-02-10T04:01:00-03:00
2233.7937,2026-02-10T04:02:00-03:00
2232.81421,2026-02-10T04:03:00-03:00
2227.417,2026-02-10T04:04:00-03:00
2227.86987,2026-02-10T04:05:00-03:00
2232.01123,2026-02-10T04:06:00-03:00
2226.15674,2026-02-10T04:07:00-03:00
2223.41821,2026-02-10T04:08:00-03:00
2216.96338,2026-02-10T04:09:00-03:00
2216.47437,2026-02-10T04:10:00-03:00
2207.06055,2026-02-10T04:11:00-03:00
2203.843,2026-02-10T04:12:00-03:00
2204.44775,2026-02-10T04:13:00-03:00
2207.23,2026-02-10T04:14:00-03:00
2211.723,2026-02-10T04:15:00-03:00
2215.97583,2026-02-10T04:16:00-03:00
2217.055,2026-02-10T04:17:00-03:00
2216.08716,2026-02-10T04:18:00-03:00
2219.44531,2026-02-10T04:19:00-03:00
2221.979,2026-02-10T04:20:00-03:00
2220.74634,2026-02-10T04:21:00-03:00
2216.60376,2026-02-10T04:22:00-03:00
2218.98975,2026-02-10T04:23:00-03:00
2220.91162,2026-02-10T04:24:00-03:00
2230.334,2026-02-10T04:25:00-03:00
2228.93359,2026-02-10T04:26:00-03:00
2225.17236,2026-02-10T04:27:00-03:00
2224.0105,2026-02-10T04:28:00-03:00
2216.90479,2026-02-10T04:29:00-03:00
2211.36475,2026-02-10T04:30:00-03:00
2212.77563,2026-02-10T04:31:00-03:00
2218.42969,2026-02-10T04:32:00-03:00
2225.407,2026-02-10T04:33:00-03:00
2229.45581,2026-02-10T04:34:00-03:00
2233.25684,2026-02-10T04:35:00-03:00
2234.12354,2026-02-10T04:36:00-03:00
2242.84546,2026-02-10T04:37:00-03:00
2239.60474,2026-02-10T04:38:00-03:00
2241.29248,2026-02-10T04:39:00-03:00
2241.368,2026-02-10T04:40:00-03:00
2239.58,2026-02-10T04:41:00-03:00
2239.12329,2026-02-10T04:42:00-03:00
2243.74951,2026-02-10T04:43:00-03:00
2243.13159,2026-02-10T04:44:00-03:00
2259.07544,2026-02-10T04:45:00-03:00
2258.2168,2026-02-10T04:46:00-03:00
2254.61,2026-02-10T04:47:00-03:00
2255.17871,2026-02-10T04:48:00-03:00
2253.90186,2026-02-10T04:49:00-03:00
2253.82617,2026-02-10T04:50:00-03:00
2257.04224,2026-02-10T04:51:00-03:00
2249.756,2026-02-10T04:52:00-03:00
2249.35547,2026-02-10T04:53:00-03:00
2249.73926,2026-02-10T04:54:00-03:00
2250.27832,2026-02-10T04:55:00-03:00
2250.27368,2026-02-10T04:56:00-03:00
2251.79126,2026-02-10T04:57:00-03:00
2251.23828,2026-02-10T04:58:00-03:00
2253.23975,2026-02-10T04:59:00-03:00
2254.10571,2026-02-10T05:00:00-03:00
2255.503,2026-02-10T05:01:00-03:00
2261.48071,2026-02-10T05:02:00-03:00
2260.10645,2026-02-10T05:03:00-03:00
2256.17383,2026-02-10T05:04:00-03:00
2252.07617,2026-02-10T05:05:00-03:00
2251.52441,2026-02-10T05:06:00-03:00
2249.6748,2026-02-10T05:07:00-03:00
2249.07983,2026-02-10T05:08:00-03:00
2253.50928,2026-02-10T05:09:00-03:00
2252.8,2026-02-10T05:10:00-03:00
2253.05322,2026-02-10T05:11:00-03:00
2244.75269,2026-02-10T05:12:00-03:00
2246.15137,2026-02-10T05:13:00-03:00
2246.01,2026-02-10T05:14:00-03:00
2245.03271,2026-02-10T05:15:00-03:00
2245.15674,2026-02-10T05:16:00-03:00
2245.41284,2026-02-10T05:17:00-03:00
2245.12256,2026-02-10T05:18:00-03:00
2243.883,2026-02-10T05:19:00-03:00
2240.67041,2026-02-10T05:20:00-03:00
2238.785,2026-02-10T05:21:00-03:00
2237.60913,2026-02-10T05:22:00-03:00
2233.84058,2026-02-10T05:23:00-03:00
2229.52,2026-02-10T05:24:00-03:00
2227.78,2026-02-10T05:25:00-03:00
2228.03857,2026-02-10T05:26:00-03:00
2229.6145,2026-02-10T05:27:00-03:00
2227.7063,2026-02-10T05:28:00-03:00
2228.66138,2026-02-10T05:29:00-03:00
2233.72559,2026-02-10T05:30:00-03:00
2241.873,2026-02-10T05:31:00-03:00
2251.186,2026-02-10T05:32:00-03:00
2253.67188,2026-02-10T05:33:00-03:00
2256.43921,2026-02-10T05:34:00-03:00
2256.23853,2026-02-10T05:35:00-03:00
