nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt;ena_queda_bruta;mlt_ena
VOLTA GRANDE;11;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-12;181.883;34.4365;181.883;34.4365;177.73;528.1696
XINGO;178;Fio dagua;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-12;1666.667;34.5459;1666.667;34.5459;1701.047;4824.4975
14 DE JULHO;99;Fio dagua;JACUI;SUL;S;SUL;2026-01-13;96.171;189.8032;94.965;187.423;90.72;50.6688
A. VERMELHA;18;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-13;578.07;34.9324;578.07;34.9324;542.465;1654.825
AIMORES;143;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-13;98.629;25.1678;98.629;25.1678;102.078;391.8856
APOLONIO SALES;173;Fio dagua;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-13;136.701;31.3142;136.701;31.3142;27.71;436.5468
B. BONITA;37;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;2026-01-13;47.016;38.9882;34.584;28.6789;48.048;120.5904
B.COQUEIROS;312;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;34.264;36.8888;34.264;36.8888;35.384;92.8846
BAGUARI;141;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-13;52.214;30.2959;44.573;25.8624;53.034;172.347
BAIXO IGUACU;83;Fio dagua;IGUACU;IGUACU;S;SUL;2026-01-13;155.488;83.1214;155.488;83.1214;150.227;187.0614
BALBINA;277;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;N;NORTE;2026-01-13;123.038;146.0565;123.038;146.0565;122.625;84.24
BARIRI;38;Fio dagua;TIETE;PARANA;SE;SUDESTE;2026-01-13;62.839;44.683;62.839;44.683;64.152;140.6328
BARRA BRAUNA;185;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-13;9.362;20.6031;9.362;20.6031;9.302;45.4398
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-13;206.351;77.143;193.613;72.3809;210.656;267.4917
BATALHA;20;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;33.671;51.5332;33.671;51.5332;31.012;65.3384
BELO MONTE;288;Fio dagua;AMAZONAS;BELO MONTE;N;NORTE;2026-01-13;3848.022;68.7326;3848.022;68.7326;3862.699;5598.54
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;2026-01-13;148.291;61.6179;148.291;61.6179;140.797;240.6624
C. DOURADA;32;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;409.815;55.415;405.762;54.867;441.706;739.5374
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;106.1;35.1644;94.849;31.4355;104.861;301.726
C.BRANCO-2;28;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;91.426;35.8919;91.426;35.8919;91.607;254.7259
CACHOEIRA CALDEIRAO;204;Fio dagua;ARAGUARI;MANAUS-AMAPA;N;NORTE;2026-01-13;35.738;45.4709;35.738;45.4709;37.12;78.5954
CACONDE;14;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-13;34.308;43.7265;34.308;43.7265;32.56;78.4605
CACU;311;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;25.182;37.2768;25.182;37.2768;25.676;67.554
CAMARGOS;1;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-13;11.109;22.1122;11.109;22.1122;10.49;50.2392
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-13;364.229;94.4793;364.229;94.4793;366.624;385.512
CANA BRAVA;252;Fio dagua;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-13;221.934;37.3548;221.934;37.3548;220.368;594.1248
CANASTRA;87;Fio dagua;JACUI;SUL;S;SUL;2026-01-13;;;;;;
CANDONGA;139;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-13;30.436;25.41;30.436;25.41;29.758;119.7798
CANOAS I;52;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-13;35.818;35.0147;35.818;35.0147;35.95;102.2943
CANOAS II;51;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-13;29.182;34.1732;29.182;34.1732;29.716;85.3944
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-13;281.867;50.0898;226.83;40.3093;297.909;562.7232
CASTRO ALVES;97;Fio dagua;JACUI;SUL;S;SUL;2026-01-13;134.376;182.3541;117.489;159.4377;134.553;73.6896
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-13;79.282;25.517;79.282;25.517;78.046;310.7031
COARACY NUNES;280;Fio dagua;ARAGUARI;MANAUS-AMAPA;N;NORTE;2026-01-13;46.205;45.884;46.205;45.884;46.394;100.6995
COLIDER;228;Fio dagua;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-13;182.712;57.3187;182.712;57.3187;141.725;318.7652
CORUMBA;30;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;227.213;50.3486;227.213;50.3486;216.584;451.2798
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;45.04;50.1007;42.957;47.7837;42.945;89.8989
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;63.618;52.4085;61.867;50.966;62.0;121.3888
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;BELO MONTE;N;NORTE;2026-01-13;22.052;86.9802;22.052;86.9802;18.944;25.3529
D. FRANCISCA;114;Fio dagua;JACUI;SUL;S;SUL;2026-01-13;122.591;172.3061;122.591;172.3061;119.714;71.1472
DARDANELOS;310;Fio dagua;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-13;462.429;109.0575;259.975;61.3115;403.805;424.0232
E. DA CUNHA;15;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-13;47.323;40.9614;47.323;40.9614;47.755;115.5308
EMBORCAÇÃO;24;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;599.114;60.079;599.114;60.079;568.16;997.2102
ESPORA;290;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;20.206;62.814;20.206;62.814;18.817;32.168
ESTREITO;267;Fio dagua;TOCANTINS;NORTE;N;NORTE;2026-01-13;786.348;55.8317;786.348;55.8317;738.964;1408.425
FERREIRA GOMES;284;Fio dagua;ARAGUARI;MANAUS-AMAPA;N;NORTE;2026-01-13;39.259;46.3542;39.259;46.3542;42.271;84.6935
FONTES;132;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-13;28.041;23.0671;28.041;23.0671;28.013;121.563
FOZ CHAPECO;103;Fio dagua;URUGUAI;SUL;S;SUL;2026-01-13;473.396;122.4464;439.15;113.5885;470.596;386.6148
FOZ DO RIO CLARO;315;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;27.078;36.4711;27.078;36.4711;27.021;74.245
FUNDÃO;72;Fio dagua;IGUACU;IGUACU;S;SUL;2026-01-13;74.414;90.4847;74.414;90.4847;76.1;82.2393
FUNIL;123;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-13;44.578;21.3798;44.578;21.3798;38.243;208.505
FUNIL-MG;4;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-13;45.715;22.5984;45.715;22.5984;47.584;202.293
FURNAS;6;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-13;381.744;27.443;381.744;27.443;361.707;1391.043
G. B. MUNHOZ;74;Reservatório com Usina;IGUACU;IGUACU;S;SUL;2026-01-13;356.207;52.6107;356.207;52.6107;348.583;677.0622
G. P. SOUZA;115;Reservatório com Usina;CAPIVARI;SUL;S;SUL;2026-01-13;102.684;64.6401;102.684;64.6401;102.541;158.855
GARIBALDI;89;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-13;69.431;85.1172;69.431;85.1172;68.832;81.5711
GOV JAYME CANET JR;57;Reservatório com Usina;PARANAPANEMA;IGUACU;S;SUL;2026-01-13;123.966;38.7313;123.966;38.7313;123.704;320.067
GUAPORE;196;Fio dagua;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-13;61.715;110.9439;61.715;110.9439;61.594;55.6272
GUILM. AMORIM;192;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-13;30.087;20.1958;30.087;20.1958;29.937;148.9768
HENRY BORDEN;119;Fio dagua;TIETE;SUDESTE;SE;SUDESTE;2026-01-13;362.662;95.2835;362.662;95.2835;362.568;380.6136
I. SOLTEIRA;34;Reservatório com Usina;PARANA;PARANA;SE;SUDESTE;2026-01-13;1582.452;47.1914;1582.452;47.1914;1612.23;3353.2623
IBITINGA;39;Fio dagua;TIETE;PARANA;SE;SUDESTE;2026-01-13;85.546;54.2393;85.546;54.2393;86.146;157.7196
IGARAPAVA;10;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-13;99.111;32.2638;99.111;32.2638;100.283;307.1891
ILHA POMBOS;130;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-13;44.991;19.3167;44.991;19.3167;48.299;232.9124
IRAPE;148;Reservatório com Usina;JEQUITINHONHA;SUDESTE;SE;SUDESTE;2026-01-13;122.644;25.5727;122.644;25.5727;122.79;479.589
ITÁ;92;Fio dagua;URUGUAI;SUL;S;SUL;2026-01-13;663.817;103.2121;663.817;103.2121;663.329;643.1579
ITAIPU;66;Fio dagua;PARANA;ITAIPU;SE;SUDESTE;2026-01-13;8720.922;57.9997;8720.922;57.9997;8959.709;15036.1432
ITAPEBI;154;Fio dagua;JEQUITINHONHA;NORDESTE;NE;NORDESTE;2026-01-13;363.12;65.615;345.96;62.5142;366.065;553.41
ITAUBA;113;Fio dagua;JACUI;SUL;S;SUL;2026-01-13;243.148;184.9884;243.148;184.9884;239.367;131.4396
ITIQUIRA I;304;Fio dagua;PARAGUAI;SUDESTE;SE;SUDESTE;2026-01-13;38.64;50.7876;38.64;50.7876;38.667;76.0815
ITIQUIRA II;305;Fio dagua;PARAGUAI;SUDESTE;SE;SUDESTE;2026-01-13;61.538;50.7881;61.538;50.7881;61.68;121.1661
ITUMBIARA;31;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;1010.49;54.9908;1010.49;54.9908;914.987;1837.5605
ITUTINGA;2;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-13;13.04;22.1109;13.04;22.1109;13.32;58.9754
JACUI;112;Fio dagua;JACUI;SUL;S;SUL;2026-01-13;220.799;196.9501;75.296;67.1631;228.931;112.1091
JAGUARA;9;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-13;244.019;31.4545;244.019;31.4545;247.69;775.7848
JAGUARI;120;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-13;6.593;29.0221;4.012;17.6606;5.97;22.7172
JAURU;195;Fio dagua;PARAGUAI;SUDESTE;SE;SUDESTE;2026-01-13;82.715;92.6766;82.715;92.6766;82.541;89.2512
JIRAU;285;Fio dagua;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-13;3691.289;101.2834;3691.289;101.2834;3436.824;3644.515
JUPIA;45;Fio dagua;PARANA;PARANA;SE;SUDESTE;2026-01-13;881.46;47.4653;881.46;47.4653;907.64;1857.06
JURUENA;309;Fio dagua;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-13;41.156;86.6369;37.297;78.5134;42.545;47.504
JURUMIRIM;47;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-13;26.273;27.8946;26.273;27.8946;26.189;94.1868
L. C. BARRETO;8;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-13;329.27;31.041;329.27;31.041;327.77;1060.7587
LAJEADO;261;Fio dagua;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-13;740.816;51.7181;740.816;51.7181;701.415;1432.4115
LIMOEIRO;16;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-13;13.806;39.8082;13.806;39.8082;13.957;34.6813
LUIZ GONZAGA;172;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-13;621.049;31.3002;621.049;31.3002;604.306;1984.17
M. MORAES;7;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-13;201.436;30.4002;201.436;30.4002;213.118;662.6139
MACHADINHO;91;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-13;495.013;108.2266;495.013;108.2266;500.833;457.3859
MANSO;278;Reservatório com Usina;PARAGUAI;SUDESTE;SE;SUDESTE;2026-01-13;104.023;69.1789;104.023;69.1789;103.207;150.368
MARIMBONDO;17;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-13;561.013;33.7725;561.013;33.7725;501.672;1661.1515
MASCARENHAS;144;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-13;96.387;27.1333;96.387;27.1333;94.799;355.2354
MIRANDA;26;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;125.814;35.0154;125.814;35.0154;126.34;359.31
MONJOLINHO;94;Fio dagua;URUGUAI;SUL;S;SUL;2026-01-13;36.034;107.6284;36.034;107.6284;35.519;33.48
MONTE CLARO;98;Fio dagua;JACUI;SUL;S;SUL;2026-01-13;103.248;179.9868;86.606;150.9757;100.661;57.3642
N. AVANHANDAVA;42;Fio dagua;TIETE;PARANA;SE;SUDESTE;2026-01-13;160.695;49.1242;160.695;49.1242;162.861;327.12
NILO PEÇANHA;131;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-13;299.773;78.014;299.773;78.014;299.67;384.2553
NOVA PONTE;25;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;182.348;37.1241;182.348;37.1241;160.512;491.1852
OURINHOS;249;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-13;12.772;26.0835;12.772;26.0835;13.354;48.9658
P. AFONSO 1,2,3;174;Fio dagua;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-13;533.33;31.3141;533.33;31.3141;116.993;1703.16
P. AFONSO 4;175;Fio dagua;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-13;763.364;31.3142;763.364;31.3142;1289.062;2437.7598
P. COLOMBIA;12;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-13;163.356;33.8154;163.356;33.8154;168.066;483.0812
PARAIBUNA;121;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-13;17.56;23.8673;17.56;23.8673;16.164;73.5735
PARANAPANEMA;53;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-13;11.812;27.9889;11.812;27.9889;12.411;42.2025
PASSO FUNDO;93;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-13;88.452;113.5718;88.452;113.5718;89.106;77.882
PASSO REAL;111;Reservatório com Usina;JACUI;SUL;S;SUL;2026-01-13;101.207;196.3355;101.207;196.3355;107.24;51.548
PASSO SAO JOAO;102;Fio dagua;URUGUAI;SUL;S;SUL;2026-01-13;74.454;167.1715;68.346;153.4572;74.105;44.5375
PEDRA DO CAVALO;189;Reservatório com Usina;PARAGUACU;NORDESTE;NE;NORDESTE;2026-01-13;7.065;4.8694;7.065;4.8694;7.152;145.0899
PEIXE ANGICAL;257;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-13;277.746;38.1931;277.746;38.1931;273.948;727.216
PEREIRA PASSOS;133;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-13;39.423;64.8614;39.423;64.8614;39.912;60.7804
PICADA;126;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-13;14.917;20.8381;14.917;20.8381;14.952;71.5852
PIMENTAL;314;Fio dagua;AMAZONAS;BELO MONTE;N;NORTE;2026-01-13;121.351;86.473;121.351;86.473;125.073;140.334
PIRAJU;48;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-13;21.363;27.9882;21.363;27.9882;22.078;76.3286
PONTE DE PEDRA;281;Fio dagua;PARAGUAI;SUDESTE;SE;SUDESTE;2026-01-13;161.44;84.9185;132.702;69.8022;162.082;190.1116
PORTO ESTRELA;135;Reservatório com Usina;DOCE;SUDESTE;SE;SUDESTE;2026-01-13;30.64;22.3111;30.64;22.3111;29.589;137.3307
PORTO PRIMAVERA;46;Fio dagua;PARANA;PARANA;SE;SUDESTE;2026-01-13;1004.967;51.1569;1004.967;51.1569;1036.883;1964.48
PROMISSÃO;40;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;2026-01-13;124.153;53.2795;124.153;53.2795;126.769;233.022
QUEBRA QUEIXO;95;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-13;64.408;107.293;64.408;107.293;63.046;60.03
QUEIMADO;162;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;2026-01-13;68.323;54.0912;68.323;54.0912;66.594;126.3108
RETIRO BAIXO;155;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;2026-01-13;27.283;25.7221;27.283;25.7221;27.281;106.0682
RONDON II;276;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-13;98.849;161.1105;98.849;161.1105;97.188;61.3548
ROSAL;217;Fio dagua;ITABAPOANA;SUDESTE;SE;SUDESTE;2026-01-13;40.618;39.3935;40.618;39.3935;40.693;103.1083
ROSANA;63;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-13;168.853;52.7115;168.853;52.7115;168.114;320.334
S.DO FACÃO;21;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;103.805;52.4494;103.805;52.4494;98.565;197.9145
S.R.VERDINHO;241;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;41.345;42.9918;41.345;42.9918;41.842;96.1694
SA CARVALHO;193;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-13;29.459;19.5403;28.523;18.9194;29.493;150.7604
SALTO;262;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;48.541;45.6869;48.541;45.6869;48.728;106.2472
SALTO CAXIAS;82;Fio dagua;IGUACU;IGUACU;S;SUL;2026-01-13;530.126;79.6745;530.126;79.6745;529.578;665.3644
SALTO GRANDE CM;134;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-13;52.9;22.9826;52.098;22.6342;52.387;230.174
SALTO GRANDE CS;50;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-13;32.672;33.7382;0.0;0.0;33.877;96.8399
SALTO OSORIO;78;Fio dagua;IGUACU;IGUACU;S;SUL;2026-01-13;404.819;73.4516;404.819;73.4516;407.465;551.1373
SALTO PILAO;215;Fio dagua;ITAJAI;SUL;S;SUL;2026-01-13;278.887;137.4698;195.974;96.6001;278.791;202.8715
SALTO SANTIAGO;77;Reservatório com Usina;IGUACU;IGUACU;S;SUL;2026-01-13;576.261;70.0607;576.261;70.0607;589.835;822.5162
SAMUEL;279;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-13;278.33;206.4983;278.33;206.4983;239.963;134.7856
SANTA BRANCA;122;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-13;10.912;24.7169;10.912;24.7169;9.036;44.148
SANTA CLARA-PR;71;Reservatório com Usina;IGUACU;IGUACU;S;SUL;2026-01-13;67.649;88.5639;67.649;88.5639;68.696;76.3844
SANTO ANTONIO;287;Fio dagua;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-13;3868.489;101.9619;3779.187;99.6081;3491.06;3794.0553
SAO DOMINGOS;153;Fio dagua;PARANA;PARANA;SE;SUDESTE;2026-01-13;34.15;74.6319;32.307;70.6042;33.867;45.7579
SAO JOSE;101;Fio dagua;URUGUAI;SUL;S;SUL;2026-01-13;52.139;164.2784;48.759;153.6288;51.966;31.7382
SAO MANOEL;230;Fio dagua;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-13;717.977;86.7931;717.977;86.7931;651.946;827.2283
SAO ROQUE;88;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-13;86.145;107.4161;86.145;107.4161;86.906;80.1975
SAO SALVADOR;253;Fio dagua;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-13;139.857;38.4634;139.857;38.4634;140.008;363.6108
SÃO SIMÃO;33;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-13;1345.964;53.6736;1345.964;53.6736;1294.202;2507.683
SEGREDO;76;Reservatório com Usina;IGUACU;IGUACU;S;SUL;2026-01-13;490.221;67.2804;490.221;67.2804;490.73;728.624
SERRA DA MESA;251;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-13;543.255;37.9753;543.255;37.9753;530.257;1430.55
SIMPLICIO;129;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-13;43.031;13.5945;43.031;13.5945;43.668;316.53285
SINOP;227;Reservatório com Usina;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-13;184.805;54.1454;177.512;52.0087;151.896;341.3124
SOBRADINHO;169;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-13;327.395;30.0754;327.395;30.0754;299.901;1088.5805
SOBRAGI;127;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-13;17.459;19.4964;13.877;15.4964;17.501;89.55
STA.CLARA-MG;283;Fio dagua;MUCURI;SUDESTE;SE;SUDESTE;2026-01-13;24.956;33.6482;24.956;33.6482;24.48;74.1675
STO ANTONIO DO JARI;286;Fio dagua;AMAZONAS;MANAUS-AMAPA;N;NORTE;2026-01-13;67.582;42.3702;67.582;42.3702;69.68;159.5035
SUIÇA;145;Fio dagua;SANTA MARIA VIT;SUDESTE;SE;SUDESTE;2026-01-13;11.749;27.7991;11.749;27.7991;11.633;42.264
TAQUARUÇU;62;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-13;178.679;51.0792;178.679;51.0792;174.013;349.8075
TELES PIRES;229;Fio dagua;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-13;1598.454;87.4413;1586.324;86.7777;1613.084;1828.0318
TRÊS IRMÃOS;43;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;2026-01-13;212.279;42.913;212.279;42.913;215.074;494.6725
TRÊS MARIAS;156;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;2026-01-13;302.37;48.6673;302.37;48.6673;294.528;621.3
TUCURUI;275;Reservatório com Usina;TOCANTINS;NORTE;N;NORTE;2026-01-13;4491.463;55.4125;4491.463;55.4125;4103.324;8105.5008
VOLTA GRANDE;11;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-13;175.966;33.3162;175.966;33.3162;172.777;528.1696
XINGO;178;Fio dagua;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-13;1591.664;32.9913;1591.664;32.9913;1624.63;4824.4975
14 DE JULHO;99;Fio dagua;JACUI;SUL;S;SUL;2026-01-14;78.5;154.9277;78.5;154.9277;73.098;50.6688
A. VERMELHA;18;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-14;547.415;33.0799;547.415;33.0799;514.325;1654.825
AIMORES;143;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-14;85.212;21.7441;85.212;21.7441;88.162;391.8856
APOLONIO SALES;173;Fio dagua;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-14;132.285;30.3026;132.285;30.3026;27.571;436.5468
B. BONITA;37;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;2026-01-14;61.56;51.0488;49.128;40.7396;62.85;120.5904
B.COQUEIROS;312;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-14;37.456;40.3253;37.456;40.3253;38.784;92.8846
BAGUARI;141;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-14;45.725;26.5308;43.009;24.9549;46.951;172.347
BAIXO IGUACU;83;Fio dagua;IGUACU;IGUACU;S;SUL;2026-01-14;138.267;73.9153;138.267;73.9153;132.466;187.0614
BALBINA;277;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;N;NORTE;2026-01-14;123.504;146.6097;123.504;146.6097;123.036;84.24
BARIRI;38;Fio dagua;TIETE;PARANA;SE;SUDESTE;2026-01-14;72.316;51.4219;72.316;51.4219;73.5;140.6328
BARRA BRAUNA;185;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-14;9.077;19.9759;9.077;19.9759;9.015;45.4398
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-14;286.343;107.0474;282.098;105.4605;292.001;267.4917
BATALHA;20;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-14;30.922;47.3259;30.922;47.3259;28.504;65.3384
BELO MONTE;288;Fio dagua;AMAZONAS;BELO MONTE;N;NORTE;2026-01-14;3982.927;71.1422;3982.927;71.1422;3987.025;5598.54
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;2026-01-14;145.211;60.3381;145.211;60.3381;137.975;240.6624
C. DOURADA;32;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-14;374.986;50.7055;369.582;49.9748;395.962;739.5374
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-14;103.528;34.3119;75.401;24.9899;101.773;301.726
C.BRANCO-2;28;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-14;86.794;34.0735;86.794;34.0735;86.342;254.7259
CACHOEIRA CALDEIRAO;204;Fio dagua;ARAGUARI;MANAUS-AMAPA;N;NORTE;2026-01-14;32.861;41.8103;32.58;41.4528;34.047;78.5954
CACONDE;14;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-14;46.44;59.189;46.44;59.189;44.147;78.4605
CACU;311;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-14;27.828;41.1937;27.828;41.1937;28.62;67.554
CAMARGOS;1;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-14;11.738;23.3642;11.738;23.3642;11.074;50.2392
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-14;384.902;99.8418;384.902;99.8418;386.954;385.512
CANA BRAVA;252;Fio dagua;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-14;223.528;37.6231;223.528;37.6231;216.774;594.1248
CANASTRA;87;Fio dagua;JACUI;SUL;S;SUL;2026-01-14;;;;;;
