nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;ena_data;ena_bruta_res_mwmed;ena_bruta_res_percentualmlt;ena_armazenavel_res_mwmed;ena_armazenavel_res_percentualmlt;ena_queda_bruta;mlt_ena
SAMUEL;279;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-02;158.655;117.7092;158.655;117.7092;142.685;134.7856
SANTA BRANCA;122;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-02;16.861;38.192;16.861;38.192;14.479;44.148
SANTA CLARA-PR;71;Reservatório com Usina;IGUACU;IGUACU;S;SUL;2026-01-02;64.098;83.915;64.098;83.915;64.53;76.3844
SANTO ANTONIO;287;Fio dagua;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-02;4197.363;110.63;3231.568;85.1745;3617.79;3794.0553
SAO DOMINGOS;153;Fio dagua;PARANA;PARANA;SE;SUDESTE;2026-01-02;25.023;54.6856;23.18;50.6579;24.917;45.7579
SAO JOSE;101;Fio dagua;URUGUAI;SUL;S;SUL;2026-01-02;163.934;516.5195;35.667;112.3788;155.692;31.7382
SAO MANOEL;230;Fio dagua;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-02;697.64;84.3346;687.212;83.074;636.578;827.2283
SAO ROQUE;88;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-02;257.941;321.6322;257.941;321.6322;261.171;80.1975
SAO SALVADOR;253;Fio dagua;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-02;87.069;23.9457;87.069;23.9457;90.417;363.6108
SÃO SIMÃO;33;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-02;721.026;28.7527;721.026;28.7527;691.541;2507.683
SEGREDO;76;Reservatório com Usina;IGUACU;IGUACU;S;SUL;2026-01-02;548.131;75.2282;548.131;75.2282;545.744;728.624
SERRA DA MESA;251;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-02;314.565;21.9891;314.565;21.9891;306.818;1430.55
SIMPLICIO;129;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-02;89.83;28.3794;89.83;28.3794;90.541;316.53285
SINOP;227;Reservatório com Usina;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-02;197.3;57.8063;190.25;55.7407;153.301;341.3124
SOBRADINHO;169;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-02;583.829;53.6321;583.829;53.6321;536.495;1088.5805
SOBRAGI;127;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-02;29.415;32.8476;22.968;25.6482;29.494;89.55
STA.CLARA-MG;283;Fio dagua;MUCURI;SUDESTE;SE;SUDESTE;2026-01-02;9.534;12.8547;9.534;12.8547;9.428;74.1675
STO ANTONIO DO JARI;286;Fio dagua;AMAZONAS;MANAUS-AMAPA;N;NORTE;2026-01-02;87.931;55.1279;87.931;55.1279;91.241;159.5035
SUIÇA;145;Fio dagua;SANTA MARIA VIT;SUDESTE;SE;SUDESTE;2026-01-02;5.262;12.4503;5.262;12.4503;5.22;42.264
TAQUARUÇU;62;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-02;235.935;67.4471;235.935;67.4471;230.447;349.8075
TELES PIRES;229;Fio dagua;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-02;1526.722;83.5173;1478.709;80.8908;1547.519;1828.0318
TRÊS IRMÃOS;43;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;2026-01-02;252.911;51.127;252.911;51.127;255.964;494.6725
TRÊS MARIAS;156;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;2026-01-02;149.19;24.0126;149.19;24.0126;144.068;621.3
TUCURUI;275;Reservatório com Usina;TOCANTINS;NORTE;N;NORTE;2026-01-02;3816.95;47.0909;3816.95;47.0909;3455.64;8105.5008
VOLTA GRANDE;11;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-02;155.855;29.5085;155.855;29.5085;153.934;528.1696
XINGO;178;Fio dagua;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-02;2378.558;49.3017;2378.558;49.3017;2424.043;4824.4975
14 DE JULHO;99;Fio dagua;JACUI;SUL;S;SUL;2026-01-03;104.758;206.7505;85.757;169.2501;101.145;50.6688
A. VERMELHA;18;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-03;506.192;30.5889;506.192;30.5889;473.566;1654.825
AIMORES;143;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-03;69.961;17.8524;69.961;17.8524;72.359;391.8856
APOLONIO SALES;173;Fio dagua;SAO FRANCISCO;NORDESTE;NE;NORDESTE;2026-01-03;229.274;52.5199;229.274;52.5199;53.083;436.5468
B. BONITA;37;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;2026-01-03;59.885;49.6598;48.341;40.0869;59.619;120.5904
B.COQUEIROS;312;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-03;39.699;42.7401;39.699;42.7401;41.128;92.8846
BAGUARI;141;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-03;43.988;25.5229;43.988;25.5229;45.377;172.347
BAIXO IGUACU;83;Fio dagua;IGUACU;IGUACU;S;SUL;2026-01-03;173.493;92.7466;163.579;87.4467;165.566;187.0614
BALBINA;277;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;N;NORTE;2026-01-03;134.886;160.1211;134.886;160.1211;123.604;84.24
BARIRI;38;Fio dagua;TIETE;PARANA;SE;SUDESTE;2026-01-03;75.596;53.7542;75.596;53.7542;75.027;140.6328
BARRA BRAUNA;185;Fio dagua;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;2026-01-03;14.679;32.3043;14.679;32.3043;14.333;45.4398
BARRA GRANDE;86;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-03;412.73;154.2964;402.823;150.5927;420.75;267.4917
BATALHA;20;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-03;14.126;21.6198;14.126;21.6198;12.684;65.3384
BELO MONTE;288;Fio dagua;AMAZONAS;BELO MONTE;N;NORTE;2026-01-03;3361.457;60.0417;3361.457;60.0417;3359.298;5598.54
BOA ESPERANÇA;190;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;2026-01-03;156.378;64.9782;156.378;64.9782;149.693;240.6624
C. DOURADA;32;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-03;223.599;30.235;222.248;30.0523;233.979;739.5374
C.BRANCO-1;27;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-03;90.39;29.9576;53.058;17.5848;88.444;301.726
C.BRANCO-2;28;Fio dagua;PARANAIBA;PARANA;SE;SUDESTE;2026-01-03;74.187;29.1242;58.762;23.0687;73.462;254.7259
CACHOEIRA CALDEIRAO;204;Fio dagua;ARAGUARI;MANAUS-AMAPA;N;NORTE;2026-01-03;63.186;80.394;57.14;72.7015;65.589;78.5954
CACONDE;14;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-03;67.6;86.158;67.6;86.158;63.869;78.4605
CACU;311;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-03;29.136;43.1299;29.136;43.1299;29.889;67.554
CAMARGOS;1;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;2026-01-03;15.558;30.9678;15.558;30.9678;14.369;50.2392
CAMPOS NOVOS;90;Reservatório com Usina;URUGUAI;SUL;S;SUL;2026-01-03;1078.486;279.7542;1078.486;279.7542;1090.763;385.512
CANA BRAVA;252;Fio dagua;TOCANTINS;SUDESTE;SE;SUDESTE;2026-01-03;143.967;24.2318;143.967;24.2318;142.456;594.1248
CANASTRA;87;Fio dagua;JACUI;SUL;S;SUL;2026-01-03;;;;;;
CANDONGA;139;Fio dagua;DOCE;SUDESTE;SE;SUDESTE;2026-01-03;40.117;33.4923;40.117;33.4923;39.014;119.7798
CANOAS I;52;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-03;51.242;50.0927;51.242;50.0927;52.311;102.2943
CANOAS II;51;Fio dagua;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-03;41.864;49.0243;41.864;49.0243;43.013;85.3944
CAPIVARA;61;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-03;465.282;82.684;465.282;82.684;500.798;562.7232
CASTRO ALVES;97;Fio dagua;JACUI;SUL;S;SUL;2026-01-03;133.501;181.1667;122.755;166.5839;132.509;73.6896
CHAVANTES;49;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;2026-01-03;110.272;35.4911;110.272;35.4911;110.013;310.7031
COARACY NUNES;280;Fio dagua;ARAGUARI;MANAUS-AMAPA;N;NORTE;2026-01-03;80.764;80.203;70.533;70.043;80.051;100.6995
COLIDER;228;Fio dagua;AMAZONAS;TELES PIRES;SE;SUDESTE;2026-01-03;182.719;57.3209;125.989;39.5241;128.691;318.7652
CORUMBA;30;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-03;166.766;36.954;166.766;36.954;158.05;451.2798
CORUMBA-3;203;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-03;32.235;35.8569;28.764;31.9959;30.916;89.8989
CORUMBA-4;29;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;2026-01-03;44.552;36.7019;41.634;34.2981;43.752;121.3888
CURUA-UNA;272;Reservatório com Usina;AMAZONAS;BELO MONTE;N;NORTE;2026-01-03;23.187;91.457;23.187;91.457;20.099;25.3529
D. FRANCISCA;114;Fio dagua;JACUI;SUL;S;SUL;2026-01-03;213.589;300.2072;135.394;190.3012;219.566;71.1472
DARDANELOS;310;Fio dagua;AMAZONAS;MADEIRA;SE;SUDESTE;2026-01-03;349.463;82.416;196.536;46.3503;339.016;424.0232
E. DA CUNHA;15;Fio dagua;GRANDE;PARANA;SE;SUDESTE;2026-01-03;100.954;87.3828;100.954;87.3828;98.556;115.5308
