id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
SE;SUDESTE;2026-02-02;204615.328;98664.208;48.2194
S;SUL;2026-02-02;20459.242;11765.528;57.5072
NE;NORDESTE;2026-02-03;51691.226;28372.559;54.8885
N;NORTE;2026-02-03;15302.396;8893.062;58.1155
SE;SUDESTE;2026-02-03;204615.328;99362.556;48.5607
S;SUL;2026-02-03;20459.242;11554.054;56.4735
NE;NORDESTE;2026-02-04;51691.226;28617.892;55.3632
N;NORTE;2026-02-04;15302.396;8863.432;57.9219
SE;SUDESTE;2026-02-04;204615.328;100218.977;48.9792
S;SUL;2026-02-04;20459.242;11348.428;55.4685
NE;NORDESTE;2026-02-05;51691.226;28887.822;55.8853
N;NORTE;2026-02-05;15302.396;8828.985;57.6967
SE;SUDESTE;2026-02-05;204615.328;100966.675;49.3446
S;SUL;2026-02-05;20459.242;11100.367;54.256
NE;NORDESTE;2026-02-06;51691.226;29140.857;56.3749
N;NORTE;2026-02-06;15302.396;8824.578;57.6679
SE;SUDESTE;2026-02-06;204615.328;101727.995;49.7167
S;SUL;2026-02-06;20459.242;10893.973;53.2472
NE;NORDESTE;2026-02-07;51691.226;29418.139;56.9113
N;NORTE;2026-02-07;15302.396;8874.867;57.9966
SE;SUDESTE;2026-02-07;204615.328;102708.035;50.1957
S;SUL;2026-02-07;20459.242;10720.535;52.3995
NE;NORDESTE;2026-02-08;51691.226;29851.762;57.7502
N;NORTE;2026-02-08;15302.396;8906.069;58.2005
SE;SUDESTE;2026-02-08;204615.328;103867.009;50.7621
S;SUL;2026-02-08;20459.242;10593.01;51.7762
NE;NORDESTE;2026-02-09;51691.226;30190.114;58.4047
N;NORTE;2026-02-09;15302.396;8931.345;58.3657
SE;SUDESTE;2026-02-09;204615.328;104983.802;51.3079
S;SUL;2026-02-09;20459.242;10397.007;50.8181
