nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual;ear_total_mwmes;ear_maxima_total_mwmes;val_contribearbacia;val_contribearmaxbacia;val_contribearsubsistema;val_contribearmaxsubsistema;val_contribearsubsistemajusante;val_contribearmaxsubsistemajusante;val_contribearsin;val_contribearmaxsin
B. BONITA;37.0;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2026-01-06;1740.259;;2713.786;;64.1266;1740.259;2713.786;0.26294247;0.27904549;0.01987667;0.01326287;0.0;0.0;0.01292659;0.00929162
BALBINA;277.0;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;N;NORTE;;;2026-01-06;377.93;;785.737;;48.0988;377.93;785.737;0.66297461;0.38740015;0.04470024;0.05134732;0.0;0.0;0.00280725;0.00269025
BARRA GRANDE;86.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-06;2146.977;;2991.427;;71.771;2146.977;2991.427;0.41589551;0.44447414;0.14758522;0.14621397;0.0;0.0;0.01594768;0.01024222
BATALHA;20.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-06;973.306;;2751.514;;35.3735;973.306;2751.514;0.03477514;0.03505071;0.01111679;0.01344725;0.0;0.0;0.00722969;0.00942079
BILLINGS;118.0;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2026-01-06;1672.321;;2444.556;;68.41;1672.321;2444.556;0.25267746;0.25136187;0.01910071;0.01194708;0.0;0.0;0.01242195;0.00836981
BLANG;;Reservatório sem usina;JACUI;SUL;S;SUL;;;2026-01-06;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BOA ESPERANÇA;190.0;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;;;2026-01-06;103.509;;264.178;;39.1815;103.509;264.178;1.0;1.0;0.00430009;0.00511069;0.0;0.0;0.00076886;0.00090451
C.BRANCO-1;27.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-06;4.253;;20.753;;20.4934;4.253;20.753;0.00015196;0.00026437;4.858e-05;0.00010142;0.0;0.0;3.159e-05;7.106e-05
CACONDE;14.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-06;326.253;;853.4;;38.2298;326.253;853.4;0.01854296;0.01656076;0.00372636;0.00417075;0.0;0.0;0.0024234;0.00292192
CACU;311.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-06;27.256;;30.877;;88.2728;27.256;30.877;0.00097383;0.00039333;0.00031131;0.0001509;0.0;0.0;0.00020246;0.00010572
CAMARGOS;1.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-06;799.774;;1568.489;;50.9901;799.774;1568.489;0.04545606;0.03043752;0.00913476;0.00766555;0.0;0.0;0.0059407;0.00537028
CAMPOS NOVOS;90.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-06;207.591;;227.826;;91.1182;207.591;227.826;0.0402129;0.03385099;0.01427;0.0111356;0.0;0.0;0.00154198;0.00078004
CAPIVARA;61.0;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2026-01-06;3585.87;;3889.672;;92.1895;3585.87;3889.672;0.43775355;0.32160692;0.04095664;0.01900968;0.0;0.0;0.02663573;0.01331768
CHAVANTES;49.0;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2026-01-06;1845.772;;3370.499;;54.7626;1845.772;3370.499;0.22532698;0.27868052;0.02108181;0.01647237;0.0;0.0;0.01371034;0.01154011
CORUMBA;30.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-06;685.412;;1531.054;;44.7673;685.412;1531.054;0.02448901;0.01950364;0.00782855;0.0074826;0.0;0.0;0.00509122;0.00524211
CORUMBA-3;203.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-06;134.32;;425.126;;31.5953;134.32;425.126;0.0047991;0.00541555;0.00153416;0.00207768;0.0;0.0;0.00099772;0.00145557
CORUMBA-4;29.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-06;476.743;;1415.959;;33.6693;476.743;1415.959;0.0170335;0.01803748;0.0054452;0.0069201;0.0;0.0;0.00354123;0.00484804
CURUA-UNA;272.0;Reservatório com Usina;AMAZONAS;BELO MONTE;N;NORTE;;;2026-01-06;5.173;;28.109;;18.4034;5.173;28.109;0.00907461;0.01385888;0.00061184;0.0018369;0.0;0.0;3.842e-05;9.624e-05
DIVISA;;Reservatório sem usina;JACUI;SUL;S;SUL;;;2026-01-06;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EDGARD SOUZA;107.0;Reservatório sem usina;TIETE;PARANA;SE;SUDESTE;;;2026-01-06;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EMBORCAÇÃO;24.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-06;9134.428;;21873.496;;41.7603;9134.428;21873.496;0.32636297;0.2786399;0.10433048;0.10690057;0.0;0.0;0.06785024;0.07489174
ERNESTINA;110.0;Reservatório sem usina;JACUI;SUL;S;SUL;;;2026-01-06;209.824;;200.552;;104.6232;209.824;200.552;0.0909152;0.06620289;0.0144235;0.00980251;0.0;0.0;0.00155857;0.00068666
ESPORA;290.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-06;24.07;;112.927;;21.3147;24.07;112.927;0.00085999;0.00143854;0.00027492;0.0005519;0.0;0.0;0.00017879;0.00038665
FUNIL;123.0;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-06;204.802;;813.622;;25.1716;204.802;813.622;0.07334112;0.10769465;0.00233918;0.00397635;0.0;0.0;0.00152126;0.00278573
FURNAS;6.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-06;10930.798;;35035.949;;31.1988;10930.798;35035.949;0.62126426;0.67989462;0.12484803;0.17122837;0.0;0.0;0.08119362;0.11995811
G. B. MUNHOZ;74.0;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2026-01-06;3433.966;;5880.363;;58.3972;3433.966;5880.363;0.51275923;0.58435864;0.23605406;0.28741842;0.0;0.0;0.02550739;0.02013353
G. P. SOUZA;115.0;Reservatório com Usina;CAPIVARI;SUL;S;SUL;;;2026-01-06;221.417;;374.956;;59.0515;221.417;374.956;1.0;1.0;0.01522041;0.01832697;0.0;0.0;0.00164468;0.0012838
GARIBALDI;89.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-06;39.924;;101.775;;39.2277;39.924;101.775;0.00773376;0.015122;0.00274441;0.00497452;0.0;0.0;0.00029655;0.00034846
GOV JAYME CANET JR;57.0;Reservatório com Usina;PARANAPANEMA;IGUACU;S;SUL;SE;SUDESTE;2026-01-06;158.712;277.119;261.737;451.213;60.638;435.831;712.95;0.0532051;0.05894833;0.01091001;0.01279309;0.00316516;0.00220518;0.00323734;0.00244104
GUARAPIRANGA;117.0;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2026-01-06;211.081;;408.675;;51.6501;211.081;408.675;0.03189305;0.04202207;0.0024109;0.00199728;0.0;0.0;0.0015679;0.00139925
I. SOLTEIRA;34.0;Reservatório com Usina;PARANA;PARANA;SE;SUDESTE;;;2026-01-06;2685.973;;3691.575;;72.7595;2685.973;3691.575;1.0;1.0;0.03067831;0.01804154;0.0;0.0;0.01995132;0.01263943
IRAPE;148.0;Reservatório com Usina;JEQUITINHONHA;SUDESTE;SE;SUDESTE;NE;NORDESTE;2026-01-06;1107.79;595.198;1962.895;1004.893;56.4365;1702.988;2967.788;1.0;1.0;0.01265282;0.0095931;0.02472639;0.0194403;0.01264974;0.01016128
ITUMBIARA;31.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-06;5088.077;;15706.409;;32.3949;5088.077;15706.409;0.18179134;0.20007923;0.05811437;0.07676067;0.0;0.0;0.03779407;0.05377651
JAGUARI;120.0;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-06;437.107;;1213.775;;36.0122;437.107;1213.775;0.15653127;0.16066069;0.00499249;0.00593198;0.0;0.0;0.00324682;0.00415579
JORDÃO;73.0;Reservatório sem usina;IGUACU;IGUACU;S;SUL;;;2026-01-06;12.244;;20.306;;60.2974;12.244;20.306;0.00182827;0.0020179;0.00084166;0.00099251;0.0;0.0;9.095e-05;6.952e-05
JURUMIRIM;47.0;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2026-01-06;2324.055;;4121.37;;56.3904;2324.055;4121.37;0.2837145;0.34076424;0.0265446;0.02014204;0.0;0.0;0.01726301;0.01411099
LAJES;124.0;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-06;435.305;;512.183;;84.9901;435.305;512.183;0.15588596;0.06779484;0.00497191;0.00250315;0.0;0.0;0.00323343;0.00175364
LUIZ GONZAGA;172.0;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;;;2026-01-06;1248.736;;3418.033;;36.5338;1248.736;3418.033;0.05121717;0.06482484;0.05187642;0.06612405;0.0;0.0;0.00927557;0.01170286
M. MORAES;7.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-06;3219.317;;4339.622;;74.1843;3219.317;4339.622;0.18297352;0.08421309;0.03677;0.02120868;0.0;0.0;0.02391298;0.01485825
MACHADINHO;91.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-06;642.264;;890.994;;72.084;642.264;890.994;0.12441434;0.13238625;0.04414983;0.04354971;0.0;0.0;0.00477072;0.00305064
MANSO;278.0;Reservatório com Usina;PARAGUAI;SUDESTE;SE;SUDESTE;;;2026-01-06;314.285;;555.798;;56.5466;314.285;555.798;1.0;1.0;0.00358966;0.00271631;0.0;0.0;0.0023345;0.00190297
MARIMBONDO;17.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-06;1064.457;;5393.697;;19.7352;1064.457;5393.697;0.06049962;0.10466808;0.01215788;0.02636018;0.0;0.0;0.00790675;0.01846725
MIRANDA;26.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-06;222.402;;269.778;;82.4389;222.402;269.778;0.00794618;0.00343662;0.0025402;0.00131846;0.0;0.0;0.00165199;0.00092368
NOVA PONTE;25.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-06;6631.716;;22766.333;;29.1295;6631.716;22766.333;0.23694385;0.29001349;0.07574531;0.11126406;0.0;0.0;0.04926017;0.07794869
PARAIBUNA;121.0;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-06;1573.306;;4561.222;;34.4931;1573.306;4561.222;0.56341259;0.60374377;0.01796979;0.02229169;0.0;0.0;0.01168647;0.01561698
PASSO FUNDO;93.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-06;1489.458;;1706.162;;87.2987;1489.458;1706.162;0.2885261;0.25350607;0.10238675;0.08339322;0.0;0.0;0.01106365;0.00584166
PASSO REAL;111.0;Reservatório com Usina;JACUI;SUL;S;SUL;;;2026-01-06;2098.084;;2828.801;;74.1687;2098.084;2828.801;0.90908437;0.93379678;0.14422427;0.13826519;0.0;0.0;0.0155845;0.00968541
PEDRA DO CAVALO;189.0;Reservatório com Usina;PARAGUACU;NORDESTE;NE;NORDESTE;;;2026-01-06;240.52;;335.383;;71.715;240.52;335.383;1.0;1.0;0.00999196;0.0064882;0.0;0.0;0.00178657;0.0011483
PEIXE ANGICAL;257.0;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;N;NORTE;2026-01-06;83.703;97.516;114.392;147.034;73.1721;181.219;261.426;0.00670104;0.00524104;0.00095603;0.00055906;0.01153385;0.00960856;0.00134609;0.00089509
PONTE NOVA;105.0;Reservatório sem usina;TIETE;PARANA;SE;SUDESTE;;;2026-01-06;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
PORTO ESTRELA;135.0;Reservatório com Usina;DOCE;SUDESTE;SE;SUDESTE;;;2026-01-06;10.356;;12.899;;80.2853;10.356;12.899;1.0;1.0;0.00011828;6.304e-05;0.0;0.0;7.692e-05;4.416e-05
PROMISSÃO;40.0;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2026-01-06;1247.084;;1829.65;;68.1597;1247.084;1829.65;0.18842675;0.18813406;0.01424379;0.0089419;0.0;0.0;0.0092633;0.00626446
QUEBRA QUEIXO;95.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-06;6.938;;10.163;;68.2672;6.938;10.163;0.00134397;0.00151005;0.00047692;0.00049674;0.0;0.0;5.154e-05;3.48e-05
QUEIMADO;162.0;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2026-01-06;77.381;135.238;283.402;484.803;27.3043;212.619;768.205;0.00872061;0.01456942;0.00088382;0.00138505;0.00561821;0.00937883;0.00157933;0.00263022
RETIRO BAIXO;155.0;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2026-01-06;9.107;35.788;11.43;42.91;79.6763;44.895;54.34;0.00184138;0.00103059;0.00010402;5.586e-05;0.00148675;0.00083012;0.00033348;0.00018605
RONDON II;276.0;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;;;2026-01-06;25.451;;56.442;;45.0923;25.451;56.442;0.0446468;0.02782819;0.00029069;0.00027584;0.0;0.0;0.00018905;0.00019325
S.DO FACÃO;21.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-06;2988.514;;6581.918;;45.4049;2988.514;6581.918;0.10677629;0.08384508;0.03413384;0.03216728;0.0;0.0;0.02219859;0.02253555
SALTO RS;;Reservatório sem usina;JACUI;SUL;S;SUL;;;2026-01-06;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SALTO SANTIAGO;77.0;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2026-01-06;2693.59;;3340.803;;80.627;2693.59;3340.803;0.40220641;0.33199092;0.18515992;0.16329065;0.0;0.0;0.0200079;0.01143843
SAMUEL;279.0;Reservatório com Usina;AMAZONAS;MADEIRA;SE;SUDESTE;;;2026-01-06;59.055;;257.288;;22.9529;59.055;257.288;0.10359581;0.1268534;0.00067451;0.00125742;0.0;0.0;0.00043866;0.00088092
SANTA BRANCA;122.0;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-06;141.939;;454.095;;31.2576;141.939;454.095;0.05082941;0.06010605;0.00162118;0.00221926;0.0;0.0;0.00105432;0.00155476
SANTA CLARA-PR;71.0;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2026-01-06;243.955;;373.966;;65.2345;243.955;373.966;0.03642732;0.03716272;0.0167697;0.01827859;0.0;0.0;0.00181209;0.00128041
SANTANA;181.0;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-06;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SANTONIO CM;193.0;Reservatório sem usina;DOCE;SUDESTE;SE;SUDESTE;;;2026-01-06;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
SAO ROQUE;88.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-06;629.146;;801.912;;78.4557;629.146;801.912;0.12187322;0.11915021;0.04324809;0.03919559;0.0;0.0;0.00467328;0.00274563
SÃO SIMÃO;33.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-06;1598.056;;5014.801;;31.8668;1598.056;5014.801;0.05709677;0.06388205;0.01825248;0.02450843;0.0;0.0;0.01187031;0.01716997
SEGREDO;76.0;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2026-01-06;313.279;;447.497;;70.0069;313.279;447.497;0.04677877;0.04446983;0.02153509;0.02187261;0.0;0.0;0.00232703;0.00153217
SERRA DA MESA;251.0;Reservatório com Usina;TOCANTINS;SUDESTE;SE;SUDESTE;N;NORTE;2026-01-06;18888.032;5975.528;35277.664;6620.419;53.5411;24863.56;41898.083;0.91939492;0.8399674;0.21573298;0.17240968;0.70676461;0.43263937;0.18468572;0.14345308
SINOP;227.0;Reservatório com Usina;AMAZONAS;TELES PIRES;SE;SUDESTE;;;2026-01-06;102.442;;900.655;;11.3742;102.442;900.655;0.17970641;0.44405938;0.00117006;0.0044017;0.0;0.0;0.00076094;0.00308371
SOBRADINHO;169.0;Reservatório com Usina;SAO FRANCISCO;NORDESTE;NE;NORDESTE;;;2026-01-06;12966.86;;30100.282;;43.0789;12966.86;30100.282;0.53183847;0.5708681;0.5386841;0.58230931;0.0;0.0;0.09631742;0.10305909
TOCOS;180.0;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-06;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TRÊS IRMÃOS;43.0;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2026-01-06;1747.657;;2328.579;;75.0525;1747.657;2328.579;0.26406027;0.23943651;0.01996117;0.01138028;0.0;0.0;0.01298154;0.00797272
TRÊS MARIAS;156.0;Reservatório com Usina;SAO FRANCISCO;SUDESTE;SE;SUDESTE;NE;NORDESTE;2026-01-06;1162.578;8745.512;2345.606;16040.745;49.5641;9908.09;18386.351;0.40638238;0.34870707;0.01327859;0.01146349;0.36331604;0.31031852;0.07359697;0.06295225
TUCURUI;275.0;Reservatório com Usina;TOCANTINS;NORTE;N;NORTE;;;2026-01-06;1998.616;;7721.097;;25.8851;1998.616;7721.097;0.07390403;0.15479156;0.23638933;0.50456785;0.0;0.0;0.01484566;0.02643594
A. VERMELHA;18.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-07;1253.843;;4340.282;;28.8885;1253.843;4340.282;0.07132052;0.0842259;0.01429304;0.02121191;0.0;0.0;0.00930399;0.01486051
ANTA;128.0;Reservatório sem usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-07;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
B. BONITA;37.0;Reservatório com Usina;TIETE;PARANA;SE;SUDESTE;;;2026-01-07;1740.232;;2713.786;;64.1256;1740.232;2713.786;0.26288267;0.27904549;0.01983758;0.01326287;0.0;0.0;0.01291317;0.00929162
BALBINA;277.0;Reservatório com Usina;AMAZONAS;MANAUS-AMAPA;N;NORTE;;;2026-01-07;374.848;;785.737;;47.7065;374.848;785.737;0.66243245;0.38740015;0.04445059;0.05134732;0.0;0.0;0.00278151;0.00269025
BARRA GRANDE;86.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-07;2136.328;;2991.427;;71.415;2136.328;2991.427;0.41687678;0.44447414;0.14778051;0.14621397;0.0;0.0;0.01585236;0.01024222
BATALHA;20.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-07;988.884;;2751.514;;35.9396;988.884;2751.514;0.03513061;0.03505071;0.01127267;0.01344725;0.0;0.0;0.00733789;0.00942079
BILLINGS;118.0;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2026-01-07;1672.321;;2444.556;;68.41;1672.321;2444.556;0.25262391;0.25136187;0.01906344;0.01194708;0.0;0.0;0.01240925;0.00836981
BLANG;;Reservatório sem usina;JACUI;SUL;S;SUL;;;2026-01-07;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
BOA ESPERANÇA;190.0;Reservatório com Usina;PARNAIBA;NORDESTE;NE;NORDESTE;;;2026-01-07;103.927;;264.178;;39.3398;103.927;264.178;1.0;1.0;0.0043032;0.00511069;0.0;0.0;0.00077118;0.00090451
C.BRANCO-1;27.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-07;2.543;;20.753;;12.2537;2.543;20.753;9.034e-05;0.00026437;2.899e-05;0.00010142;0.0;0.0;1.887e-05;7.106e-05
CACONDE;14.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-07;328.007;;853.4;;38.4353;328.007;853.4;0.01865754;0.01656076;0.00373908;0.00417075;0.0;0.0;0.00243394;0.00292192
CACU;311.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-07;27.577;;30.877;;89.3124;27.577;30.877;0.00097969;0.00039333;0.00031436;0.0001509;0.0;0.0;0.00020463;0.00010572
CAMARGOS;1.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-07;804.857;;1568.489;;51.3142;804.857;1568.489;0.0457815;0.03043752;0.00917488;0.00766555;0.0;0.0;0.00597234;0.00537028
CAMPOS NOVOS;90.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-07;194.35;;227.826;;85.3063;194.35;227.826;0.03792489;0.03385099;0.01344416;0.0111356;0.0;0.0;0.00144215;0.00078004
CAPIVARA;61.0;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2026-01-07;3558.777;;3889.672;;91.493;3558.777;3889.672;0.43610502;0.32160692;0.04056788;0.01900968;0.0;0.0;0.02640746;0.01331768
CHAVANTES;49.0;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2026-01-07;1849.256;;3370.499;;54.8659;1849.256;3370.499;0.22661432;0.27868052;0.02108039;0.01647237;0.0;0.0;0.01372217;0.01154011
CORUMBA;30.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-07;703.595;;1531.054;;45.9549;703.595;1531.054;0.02499557;0.01950364;0.00802055;0.0074826;0.0;0.0;0.00522094;0.00524211
CORUMBA-3;203.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-07;143.265;;425.126;;33.6994;143.265;425.126;0.00508956;0.00541555;0.00163313;0.00207768;0.0;0.0;0.00106308;0.00145557
CORUMBA-4;29.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-07;503.092;;1415.959;;35.5301;503.092;1415.959;0.0178726;0.01803748;0.00573494;0.0069201;0.0;0.0;0.00373313;0.00484804
CURUA-UNA;272.0;Reservatório com Usina;AMAZONAS;BELO MONTE;N;NORTE;;;2026-01-07;5.118;;28.109;;18.2077;5.118;28.109;0.00904454;0.01385888;0.00060691;0.0018369;0.0;0.0;3.798e-05;9.624e-05
DIVISA;;Reservatório sem usina;JACUI;SUL;S;SUL;;;2026-01-07;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EDGARD SOUZA;107.0;Reservatório sem usina;TIETE;PARANA;SE;SUDESTE;;;2026-01-07;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
EMBORCAÇÃO;24.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-07;9192.241;;21873.496;;42.0246;9192.241;21873.496;0.32655908;0.2786399;0.10478593;0.10690057;0.0;0.0;0.06820988;0.07489174
ERNESTINA;110.0;Reservatório sem usina;JACUI;SUL;S;SUL;;;2026-01-07;210.982;;200.552;;105.2006;210.982;200.552;0.09150898;0.06620289;0.01459468;0.00980251;0.0;0.0;0.00156557;0.00068666
ESPORA;290.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-07;26.387;;112.927;;23.3664;26.387;112.927;0.00093741;0.00143854;0.0003008;0.0005519;0.0;0.0;0.0001958;0.00038665
FUNIL;123.0;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-07;201.184;;813.622;;24.727;201.184;813.622;0.07254268;0.10769465;0.00229337;0.00397635;0.0;0.0;0.00149286;0.00278573
FURNAS;6.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-07;10929.283;;35035.949;;31.1945;10929.283;35035.949;0.62167441;0.67989462;0.12458715;0.17122837;0.0;0.0;0.08109938;0.11995811
G. B. MUNHOZ;74.0;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2026-01-07;3400.013;;5880.363;;57.8198;3400.013;5880.363;0.51136651;0.58435864;0.23519593;0.28741842;0.0;0.0;0.02522937;0.02013353
G. P. SOUZA;115.0;Reservatório com Usina;CAPIVARI;SUL;S;SUL;;;2026-01-07;221.003;;374.956;;58.941;221.003;374.956;1.0;1.0;0.01528788;0.01832697;0.0;0.0;0.00163993;0.0012838
GARIBALDI;89.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-07;49.572;;101.775;;48.7074;49.572;101.775;0.00967333;0.015122;0.00342914;0.00497452;0.0;0.0;0.00036784;0.00034846
GOV JAYME CANET JR;57.0;Reservatório com Usina;PARANAPANEMA;IGUACU;S;SUL;SE;SUDESTE;2026-01-07;156.017;272.473;261.737;451.213;59.6083;428.49;712.95;0.05250867;0.05894833;0.01079248;0.01279309;0.00310603;0.00220518;0.00317956;0.00244104
GUARAPIRANGA;117.0;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2026-01-07;216.353;;408.675;;52.9401;216.353;408.675;0.03268268;0.04202207;0.00246629;0.00199728;0.0;0.0;0.00160542;0.00139925
I. SOLTEIRA;34.0;Reservatório com Usina;PARANA;PARANA;SE;SUDESTE;;;2026-01-07;2685.973;;3691.575;;72.7595;2685.973;3691.575;1.0;1.0;0.03061845;0.01804154;0.0;0.0;0.01993093;0.01263943
IRAPE;148.0;Reservatório com Usina;JEQUITINHONHA;SUDESTE;SE;SUDESTE;NE;NORDESTE;2026-01-07;1124.762;603.639;1962.895;1004.893;57.3012;1728.401;2967.788;1.0;1.0;0.0128216;0.0095931;0.02499429;0.0194403;0.01282538;0.01016128
ITUMBIARA;31.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-07;5111.101;;15706.409;;32.5415;5111.101;15706.409;0.18157449;0.20007923;0.05826343;0.07676067;0.0;0.0;0.03792629;0.05377651
JAGUARI;120.0;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-07;433.603;;1213.775;;35.7235;433.603;1213.775;0.15634804;0.16066069;0.00494281;0.00593198;0.0;0.0;0.0032175;0.00415579
JORDÃO;73.0;Reservatório sem usina;IGUACU;IGUACU;S;SUL;;;2026-01-07;12.473;;20.306;;61.4252;12.473;20.306;0.00187596;0.0020179;0.00086282;0.00099251;0.0;0.0;9.255e-05;6.952e-05
JURUMIRIM;47.0;Reservatório com Usina;PARANAPANEMA;PARANAPANEMA;SE;SUDESTE;;;2026-01-07;2323.844;;4121.37;;56.3852;2323.844;4121.37;0.284772;0.34076424;0.0264904;0.02014204;0.0;0.0;0.01724379;0.01411099
