nom_reservatorio;cod_resplanejamento;tip_reservatorio;nom_bacia;nom_ree;id_subsistema;nom_subsistema;id_subsistema_jusante;nom_subsistema_jusante;ear_data;ear_reservatorio_subsistema_proprio_mwmes;ear_reservatorio_subsistema_jusante_mwmes;earmax_reservatorio_subsistema_proprio_mwmes;earmax_reservatorio_subsistema_jusante_mwmes;ear_reservatorio_percentual;ear_total_mwmes;ear_maxima_total_mwmes;val_contribearbacia;val_contribearmaxbacia;val_contribearsubsistema;val_contribearmaxsubsistema;val_contribearsubsistemajusante;val_contribearmaxsubsistemajusante;val_contribearsin;val_contribearmaxsin
ESPORA;290.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-01;24.318;;112.927;;21.5343;24.318;112.927;0.00088309;0.00143854;0.00028195;0.0005519;0.0;0.0;0.0001827;0.00038665
FUNIL;123.0;Reservatório com Usina;PARAIBA DO SUL;SUDESTE;SE;SUDESTE;;;2026-01-01;235.233;;813.622;;28.9118;235.233;813.622;0.08213778;0.10769465;0.00272737;0.00397635;0.0;0.0;0.00176733;0.00278573
FURNAS;6.0;Reservatório com Usina;GRANDE;PARANA;SE;SUDESTE;;;2026-01-01;10571.058;;35035.949;;30.172;10571.058;35035.949;0.61301972;0.67989462;0.12256444;0.17122837;0.0;0.0;0.07942136;0.11995811
G. B. MUNHOZ;74.0;Reservatório com Usina;IGUACU;IGUACU;S;SUL;;;2026-01-01;3577.061;;5880.363;;60.8306;3577.061;5880.363;0.51533807;0.58435864;0.2428855;0.28741842;0.0;0.0;0.0268748;0.02013353
G. P. SOUZA;115.0;Reservatório com Usina;CAPIVARI;SUL;S;SUL;;;2026-01-01;226.425;;374.956;;60.3871;226.425;374.956;1.0;1.0;0.01537445;0.01832697;0.0;0.0;0.00170115;0.0012838
GARIBALDI;89.0;Reservatório com Usina;URUGUAI;SUL;S;SUL;;;2026-01-01;113.956;;101.775;;111.9686;113.956;101.775;0.02249904;0.015122;0.00773771;0.00497452;0.0;0.0;0.00085616;0.00034846
GOV JAYME CANET JR;57.0;Reservatório com Usina;PARANAPANEMA;IGUACU;S;SUL;SE;SUDESTE;2026-01-01;185.503;322.457;261.737;451.213;70.8738;507.96;712.95;0.06207948;0.05894833;0.01259581;0.01279309;0.00373868;0.00220518;0.00381635;0.00244104
GUARAPIRANGA;117.0;Reservatório sem usina;TIETE;SUDESTE;SE;SUDESTE;;;2026-01-01;209.65;;408.675;;51.2999;209.65;408.675;0.0322837;0.04202207;0.00243075;0.00199728;0.0;0.0;0.00157512;0.00139925
I. SOLTEIRA;34.0;Reservatório com Usina;PARANA;PARANA;SE;SUDESTE;;;2026-01-01;2546.807;;3691.575;;68.9897;2546.807;3691.575;1.0;1.0;0.02952855;0.01804154;0.0;0.0;0.0191344;0.01263943
IRAPE;148.0;Reservatório com Usina;JEQUITINHONHA;SUDESTE;SE;SUDESTE;NE;NORDESTE;2026-01-01;1086.013;584.345;1962.895;1004.893;55.3271;1670.358;2967.788;1.0;1.0;0.0125916;0.0095931;0.02460744;0.0194403;0.01254956;0.01016128
ITUMBIARA;31.0;Reservatório com Usina;PARANAIBA;PARANA;SE;SUDESTE;;;2026-01-01;4862.496;;15706.409;;30.9587;4862.496;15706.409;0.17657744;0.20007923;0.05637743;0.07676067;0.0;0.0;0.0365324;0.05377651
